title,author,googleid,goodreads_id,start date,end date,read status,rating,pages
The Dawn of Everything: A New History of Humanity,David Graeber,X8gZEAAAQBAJ,56269264,2023/10/06,,to-read,0,692.0
The Center Cannot Hold: My Journey Through Madness,Elyn R. Saks,xnFrAwAAQBAJ,1098486,2023/10/06,,to-read,0,340.0
Intuition Pumps And Other Tools for Thinking,Daniel C. Dennett,9SduAwAAQBAJ,18378002,2023/10/21,,to-read,0,496.0
A History of Masculinity,Nathan Bracher,,57089574,2023/10/21,,to-read,0,368.0
The Bible in Australia: A Cultural History,Meredith Lake,7D4HEAAAQBAJ,39694851,2023/10/21,,to-read,0,336.0
Another Kyoto,Alex Kerr,ml5PDwAAQBAJ,32312516,2023/10/21,,to-read,0,336.0
Musashi,Eiji Yoshikawa,kl4qDwAAQBAJ,102030,2023/10/21,,to-read,0,970.0
The Socrates Express: In Search of Life Lessons from Dead Philosophers,Eric    Weiner,rFw4EAAAQBAJ,50492244,2023/10/22,,to-read,0,344.0
The Year I Met My Brain: A travel companion for adults who have just found out they have ADHD,Matilda Boseley,Wy3FEAAAQBAJ,178125057,2023/10/29,,to-read,0,433.0
A Wunch of Bankers: A Year in the Hayne Royal Commission,Daniel Ziffer,lq-HDwAAQBAJ,45015229,2023/10/31,,to-read,0,320.0
"The World for Sale: Money, Power and the Traders Who Barter the Earth’s Resources",Javier Blas,ia8gEAAAQBAJ,52199304,2023/11/04,,to-read,0,320.0
This Is How They Tell Me the World Ends: The Cyberweapons Arms Race,Nicole Perlroth,6H_dDwAAQBAJ,49247043,2023/11/04,,to-read,0,528.0
The Brain: The Story of You,David Eagleman,gUTGBwAAQBAJ,25776132,2023/11/04,,to-read,0,224.0
"50 Philosophy Classics: Thinking, Being, Acting, Seeing, Profound Insights and Powerful Thinking from Fifty Key Books (50 Classics)",Tom Butler-Bowdon,i7hjEAAAQBAJ,17087629,2023/10/21,,to-read,0,325.0
Destined for War: Can America and China Escape Thucydides’s Trap?,Graham Allison,AfYnDwAAQBAJ,31125556,2023/11/12,,to-read,0,384.0
"Tasmanian Aborigines, A History Since 1803",Lyndall Ryan,78zBuSb_HIoC,13644288,2023/11/16,,to-read,0,418.0
"The Hidden Life of Trees: What They Feel, How They Communicate: Discoveries from a Secret World",Peter Wohlleben,4ypyDwAAQBAJ,28256439,2023/11/16,,to-read,0,272.0
The Makioka Sisters,Jun'ichirō Tanizaki,8apZAAAAYAAJ,34449,2023/11/16,,to-read,0,530.0
Gestalt Therapy: Excitement and Growth in the Human Personality,Frederick Salomon Perls,zH2RzwEACAAJ,402217,2023/11/16,,to-read,0,
Against White Feminism: Notes on Disruption,Rafia Zakaria,JOUNEAAAQBAJ,55298403,2023/11/16,,to-read,0,256.0
Under Fire,Henri Barbusse,vZoqAQAAIAAJ,48176,2020/06/30,,to-read,0,318.0
On not being a Philosopher,Robert Lynd,mEYWAQAAMAAJ,36050112,2023/11/24,,to-read,0,
Hard to Be a God,Arkady Strugatsky,t22yBgAAQBAJ,759517,2023/11/25,,to-read,0,219.0
Affluenza: The All-Consuming Epidemic,John De Graaf,EYBLcNWA3z4C,48829,2023/12/10,,to-read,0,288.0
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,DzytDwAAQBAJ,998,2023/12/11,,to-read,0,258.0
When McKinsey Comes to Town,Walt Bogdanich,BQdlEAAAQBAJ,60644838,2023/12/13,,to-read,0,368.0
The Intelligent Investor,Benjamin Graham,-NdcCSt8t_YC,106835,2023/11/14,,to-read,0,623.0
How the Mind Works,Steven Pinker,vdr3oQEACAAJ,835623,2023/10/06,,to-read,0,660.0
"Talking to My Daughter About the Economy: or, How Capitalism Works—and How It Fails",Yanis Varoufakis,D2jYDQAAQBAJ,36490332,2023/10/21,,to-read,0,224.0
The Secret Life of Trees: How They live and Why They Matter,Colin Tudge,TSM9rACfV9gC,811596,2023/10/21,,to-read,0,452.0
NeuroTribes: The Legacy of Autism and the Future of Neurodiversity,Steve Silberman,w3XoAwAAQBAJ,22514020,2023/10/06,,to-read,0,477.0
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,OmSV5tKzvboC,63697,2023/10/06,,to-read,0,243.0
"Easy Money: Cryptocurrency, Casino Capitalism, and the Golden Age of Fraud",Ben McKenzie,mPR-EAAAQBAJ,61783837,2023/10/07,,to-read,0,304.0
"Angel: How to Invest in Technology Startups—Timeless Advice from an Angel Investor Who Turned $100,000 into $100,000,000",Jason Calacanis,GGtEDQAAQBAJ,32600757,2023/10/08,,to-read,0,288.0
Learn to Earn: A Beginner's Guide to the Basics of Investing and Business,Peter Lynch,9ejeb7Duc5cC,817589,2023/10/08,,to-read,0,272.0
Internet for the People,Ben Tarnoff,auhOEAAAQBAJ,58952557,2023/10/08,,to-read,0,192.0
"Automating Inequality: How High-Tech Tools Profile, Police, and Punish the Poor",Virginia Eubanks,pn4pDwAAQBAJ,34964830,2023/10/08,,to-read,0,260.0
A Field Guide to Lies: Critical Thinking in the Information Age,Daniel J. Levitin,wf_cCwAAQBAJ,28504537,2023/10/08,,to-read,0,292.0
"Rage Inside the Machine: The Prejudice of Algorithms, and How to Stop the Internet Making Bigots of Us All",Robert Elliott Smith,CcicDwAAQBAJ,40653223,2023/10/08,,to-read,0,344.0
The Tree of Man,Patrick White,Ski0FfGhN60C,561413,2023/10/09,,to-read,0,480.0
Voss,Patrick White,GV5DkN7vdysC,411496,2023/10/09,,to-read,0,448.0
"Wonder Boy: Tony Hsieh, Zappos, and the Myth of Happiness in Silicon Valley",Angel Au-Yeung,ZYyJEAAAQBAJ,60741801,2023/10/21,,to-read,0,384.0
Fear,Gabriel Chevallier,neUMpWOgaGIC,18373373,2023/10/09,,to-read,0,328.0
The Society of Mind,Marvin Minsky,bLDLllfRpdkC,326790,2023/10/10,,to-read,0,336.0
"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,ZSu2DQAAQBAJ,32758901,2023/10/14,,to-read,0,144.0
The Structure of Scientific Revolutions,Thomas S. Kuhn,3eP5Y_OOuzwC,12864174,2023/10/14,,to-read,0,217.0
The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,u4d0CgAAQBAJ,117047,2023/10/14,,to-read,0,466.0
The Call of the Wild,Jack London,j0oYi3O_tvgC,1852,2023/10/14,,to-read,0,172.0
Abroad in Japan,Chris  Broad,ewuSzwEACAAJ,64645770,2023/10/15,,to-read,0,320.0
Principles: Life and Work,Ray Dalio,qNNmDwAAQBAJ,34536488,2023/10/16,,to-read,0,16.0
Build: An Unorthodox Guide to Making Things Worth Making,Tony Fadell,L7dQEAAAQBAJ,59696349,2023/10/16,,to-read,0,416.0
The Great War for Civilisation: The Conquest of the Middle East,Robert Fisk,SJHtAAAAMAAJ,52142,2023/10/21,,to-read,0,1111.0
Mushroom,Nicholas P. Money,bugqDwAAQBAJ,13029271,2023/10/21,,to-read,0,201.0
The Old Ways: A Journey on Foot,Robert Macfarlane,7AQ0tyT1w3UC,13369533,2023/10/21,,to-read,0,433.0
"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,7_H8AwAAQBAJ,20527133,2023/10/09,,to-read,0,352.0
Good Arguments: How Debate Teaches Us to Listen and Be Heard,Bo Seo,ym6vEAAAQBAJ,60018587,2022/09/07,,to-read,0,352.0
"The Psychology Book: From Shamanism to Cutting-Edge Neuroscience, 250 Milestones in the History of Psychology (Union Square & Co. Milestones)",Wade E. Pickren,3DWgEAAAQBAJ,18342769,2023/06/28,,to-read,0,528.0
"Japanese Philosophy: A Sourcebook (Nanzan Library of Asian Religion and Culture, 5)",James W. Heisig,,13239026,2023/06/23,,to-read,0,1376.0
Blockchain Chicken Farm: And Other Stories of Tech in China's Countryside,Xiaowei Wang,sCPQDwAAQBAJ,50403472,2023/01/28,,to-read,0,256.0
All the Light We Cannot See,Anthony Doerr,6nDVEAAAQBAJ,18143977,2023/01/28,,to-read,0,531.0
A New History of Western Philosophy,Anthony Kenny,PgZrpNeulMMC,8412068,2023/02/01,,to-read,0,1058.0
Waking Up: A Guide to Spirituality Without Religion,Sam Harris,l-j6ngEACAAJ,18774981,2023/02/01,,to-read,0,256.0
Slouching Towards Utopia: An Economic History of the Twentieth Century,J. Bradford DeLong,sYBXEAAAQBAJ,9283648,2023/02/02,,to-read,0,624.0
The White Hotel,D.M. Thomas,vUnx8UnwnnQC,46087,2023/02/04,,to-read,0,240.0
A History of Reading,Alberto Manguel,e_3gAAAAMAAJ,53085,2023/02/10,,to-read,0,372.0
Why Read?,Mark Edmundson,VnJ-zZ3WiAEC,821834,2023/02/10,,to-read,0,160.0
The Heart Is a Lonely Hunter,Carson McCullers,z_Pvxz9iRJ0C,37380,2023/02/11,,to-read,0,359.0
Civil Disobedience and Other Essays,Henry David Thoreau,CXlvhvSAvgYC,16900,2023/02/17,,to-read,0,188.0
Walking,Henry David Thoreau,Ht68EAAAQBAJ,227113,2023/02/17,,to-read,0,60.0
Adrift in Melbourne,Robyn Annear,pFZFEAAAQBAJ,58420959,2023/01/26,,to-read,0,288.0
Go,John Clellon Holmes,bPF3CgAAQBAJ,260785,2023/02/18,,to-read,0,352.0
The Electric Kool-Aid Acid Test,Tom Wolfe,9io09MPj55EC,7442,2023/02/22,,to-read,0,416.0
The Golden Bough,James George Frazer,lwZ-AwAAQBAJ,408862,2023/03/01,,to-read,0,880.0
Solitude: A Singular Life in a Crowded World,Michael  Harris,FzVQDAAAQBAJ,26085732,2023/03/06,,to-read,0,256.0
Harp of Burma (Tuttle Classics),Michio Takeyama,6QjRAgAAQBAJ,747651,2023/03/10,,to-read,0,132.0
The Story of Work: A New History of Humankind,Jan Lucassen,Dkk5EAAAQBAJ,57220273,2023/03/15,,to-read,0,544.0
Lead Yourself First: Inspiring Leadership Through Solitude,Raymond M. Kethledge,95yZDgAAQBAJ,31451193,2023/04/02,,to-read,0,240.0
Solitude: A Return to the Self,Anthony Storr,FJzUXr5YFD8C,120586,2023/04/02,,to-read,0,216.0
A Philosophy of Walking,Frédéric Gros,_c2UEAAAQBAJ,18339944,2023/04/02,,to-read,0,228.0
Reclaiming Conversation: The Power of Talk in a Digital Age,Sherry Turkle,POpJBgAAQBAJ,24612127,2023/04/04,,to-read,0,448.0
Exercised: Why Something We Never Evolved to Do Is Healthy and Rewarding,Daniel E. Lieberman,YkfCDwAAQBAJ,49358915,2023/04/08,,to-read,0,464.0
"The Story of the Human Body: Evolution, Health, and Disease",Daniel E. Lieberman,SPuMEAAAQBAJ,17736859,2023/04/08,,to-read,0,480.0
George Orwell: A Life,Bernard Crick,xHW-QgAACAAJ,147487,2023/02/21,,to-read,0,672.0
Underground: The Tokyo Gas Attack and the Japanese Psyche,Haruki Murakami,wTVDZcB_FnAC,17801,2023/04/09,,to-read,0,309.0
Carpentaria,Alexis Wright,ii-0zHZE29YC,633484,2023/01/26,,to-read,0,520.0
A Little History of Literature (Little Histories),John Sutherland,Uc4_AQAAQBAJ,17802957,2023/01/23,,to-read,0,276.0
Do Hard Things: Why We Get Resilience Wrong and the Surprising Science of Real Toughness,Steve Magness,cTREEAAAQBAJ,59088361,2022/09/11,,to-read,0,320.0
"How Minds Change: The Surprising Science of Belief, Opinion, and Persuasion",David McRaney,QTDkDwAAQBAJ,57933312,2022/09/11,,to-read,0,352.0
Cloudstreet,Tim Winton,gVNXcWafG9oC,343881,2022/03/28,,to-read,0,426.0
The Human Condition,Hannah Arendt,bGlwDwAAQBAJ,127227,2022/01/04,,to-read,0,349.0
Finding the Mother Tree: Discovering the Wisdom of the Forest,Suzanne Simard,Ky_5DwAAQBAJ,54976983,2022/09/22,,to-read,0,348.0
The Rise and Fall of the Neoliberal Order: America and the World in the Free Market Era,Gary Gerstle,3PJbEAAAQBAJ,58986869,2022/09/23,,to-read,0,432.0
"The Age of Revolution, 1789–1848",Eric J. Hobsbawm,sBlUPwAACAAJ,550840,2022/09/26,,to-read,0,356.0
A History of Mathematics,Carl B. Boyer,bR9HAAAAQBAJ,326148,2022/10/31,,to-read,0,736.0
"Happiness by Design: Change What You Do, Not How You Think",Paul Dolan,0_SMswEACAAJ,18667892,2022/12/17,,to-read,0,256.0
The Pale King,David Foster Wallace,09Thi9iDocUC,9443405,2022/12/30,,to-read,0,548.0
The Lucifer Effect: Understanding How Good People Turn Evil,Philip G. Zimbardo,6LUeku8YdywC,359194,2023/01/04,,to-read,0,551.0
The Way of the World,Nicolas Bouvier,mYJcAAAAMAAJ,596778,2023/01/23,,to-read,0,309.0
Gravity's Rainbow,Thomas Pynchon,GGPm4I3BbxAC,415,2023/01/08,,to-read,0,776.0
How to Read and Why,Harold Bloom,bewrMsdx1J0C,20943,2023/01/10,,to-read,0,288.0
Solaris,Stanisław Lem,kM1hAAAAMAAJ,95558,2023/01/10,,to-read,0,204.0
And Quiet Flows the Don,Mikhail Sholokhov,EOUPDQAAQBAJ,78024,2023/01/12,,to-read,0,1408.0
"I, Claudius (Claudius, #1)",Robert Graves,ZqsaAwAAQBAJ,18765,2023/01/13,,to-read,0,468.0
Modern Man in Search of a Soul,C.G. Jung,_SrfBQAAQBAJ,646175,2023/01/13,,to-read,0,244.0
On the Trail of Genghis Khan: An Epic Journey Through the Land of the Nomads,Tim Cope,XeU_AQAAQBAJ,17286667,2023/01/14,,to-read,0,528.0
Orlando,Virginia Woolf,jEmVEAAAQBAJ,18839,2023/01/14,,to-read,0,336.0
Chess Story,Stefan Zweig,DQxmAAAAMAAJ,59151,2023/01/17,,to-read,0,104.0
The God of Small Things,Arundhati Roy,0mhCpXdzLt4C,9777,2023/01/18,,to-read,0,321.0
"Index, A History of the: A Bookish Adventure from Medieval Manuscripts to the Digital Age",Dennis Duncan,_mIMEAAAQBAJ,58085251,2023/01/23,,to-read,0,343.0
The Science of Storytelling,Will Storr,G9WqDwAAQBAJ,43183121,2023/01/23,,to-read,0,144.0
Genius: A Mosaic of One Hundred Exemplary Creative Minds,Harold Bloom,oGAQAQAAIAAJ,512088,2023/01/10,,to-read,0,814.0
"A Critical History and Philosophy of Psychology: Diversity of Context, Thought, and Practice",Richard T.G. Walsh,Or4dAwAAQBAJ,18552901,2023/06/28,,to-read,0,728.0
The Brothers Karamazov,Fyodor Dostoevsky,BZvXZ1au0VcC,4934,2023/04/10,,to-read,0,796.0
Why We Drive: Toward a Philosophy of the Open Road,Matthew B. Crawford,Tz-tDwAAQBAJ,52515160,2023/04/12,,to-read,0,368.0
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,7WjYDQAAQBAJ,33917107,2023/05/05,,to-read,0,126.0
The Awakened Brain: The New Science of Spirituality and Our Quest for an Inspired Life,Lisa   Miller,Gic5EAAAQBAJ,57901800,2023/05/05,,to-read,0,272.0
"Models of the Mind: How Physics, Engineering and Mathematics Have Shaped Our Understanding of the Brain",Grace  Lindsay,-hKXzgEACAAJ,50884536,2023/05/05,,to-read,0,400.0
Lateral Thinking,Edward de Bono,OYZQcUPBbqcC,829616,2023/05/05,,to-read,0,272.0
Too Far Afield,Günter Grass,oywhAQAAIAAJ,52135974,2023/05/05,,to-read,0,
"The Rise and Triumph of the Modern Self: Cultural Amnesia, Expressive Individualism, and the Road to Sexual Revolution",Carl R. Trueman,6pf9DwAAQBAJ,50611052,2023/05/07,,to-read,0,432.0
The Divided Self: An Existential Study in Sanity and Madness,R.D. Laing,4JT-12rMtJsC,496585,2023/05/19,,to-read,0,224.0
The Act of Creation,Arthur Koestler,tJC5pDXFY8oC,30676,2023/05/20,,to-read,0,752.0
Scum of the Earth,Arthur Koestler,U_w-AQAAIAAJ,552008,2023/05/20,,to-read,0,253.0
The 1002nd Book to Read Before You Die,M.J. Nicholls,wyrQtAEACAAJ,39398648,2023/05/20,,to-read,0,218.0
The Woman in the Dunes,Kōbō Abe,RBXSswEACAAJ,9998,2023/05/26,,to-read,0,241.0
How the World Works (Real Story (Soft Skull Press)),Noam Chomsky,8oqezQEACAAJ,10728838,2023/05/04,,to-read,0,336.0
Walden Two (Hackett Classics),B.F. Skinner,lMpgDwAAQBAJ,55990,2023/05/26,,to-read,0,320.0
We Happy Few,Helen Howe,DKMLAQAAIAAJ,11756888,2023/06/01,,to-read,0,
"Wait Until Spring, Bandini (The Saga of Arturo Bandini, #1)",John Fante,,540372,2023/06/01,,to-read,0,266.0
The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,cpmRBAAAQBAJ,1237300,2023/06/01,,to-read,0,558.0
Re-Engineering Humanity,Brett Frischmann,0gpZDwAAQBAJ,37488328,2023/06/02,,to-read,0,410.0
"Becoming a Supple Leopard: The Ultimate Guide to Resolving Pain, Preventing Injury, and Optimizing Athletic Performance",Kelly Starrett,VOZXEAAAQBAJ,13594266,2023/06/02,,to-read,0,400.0
Built to Move: The Ten Essential Habits to Help You Move Freely and Live Fully,Kelly Starrett,Sv94EAAAQBAJ,61423854,2023/06/02,,to-read,0,336.0
The Alzheimer's Solution: A Breakthrough Program to Prevent and Reverse the Symptoms of Cognitive Decline at Every Age,Dean Sherzai,HAOXDgAAQBAJ,33991763,2023/06/02,,to-read,0,368.0
The Well-Educated Mind: A Guide to the Classical Education You Never Had,Susan Wise Bauer,YqqaCgAAQBAJ,86145,2023/06/05,,to-read,0,432.0
"Shaman: Invoking Power, Presence and Purpose at the Core of Who You Are",Ya’Acov Darling Khan,wWL6DwAAQBAJ,50419709,2023/06/09,,to-read,0,304.0
Comparative Religion,A.C. Bouquet,zQ49AAAAIAAJ,3334951,2023/06/10,,to-read,0,328.0
The Making of the Atomic Bomb,Richard Rhodes,5o70W8CR6vMC,16884,2023/06/14,,to-read,0,886.0
Social Physics: How Good Ideas Spread— The Lessons from a New Science,Alex Pentland,KAL5AgAAQBAJ,18079689,2023/05/30,,to-read,0,320.0
Meet the Frugalwoods: Achieving Financial Independence Through Simple Living,Elizabeth Willard Thames,idjWDgAAQBAJ,35068719,2023/04/12,,to-read,0,256.0
The Shortest History of England,James Hawes,JviPDwAAQBAJ,45420401,2023/05/04,,to-read,0,272.0
The Japanese: A History in Twenty Lives,Christopher    Harding,R1XODwAAQBAJ,51007678,2023/05/04,,to-read,0,528.0
The Deep History of Ourselves: The Four-Billion-Year Story of How We Got Conscious Brains,Joseph E. LeDoux,3GJjDwAAQBAJ,40910274,2023/04/13,,to-read,0,432.0
Pathfinders: The Golden Age of Arabic Science,Jim Al-Khalili,ntLEUHTXxUMC,8344770,2023/04/13,,to-read,0,336.0
"Descartes' Error: Emotion, Reason and the Human Brain",António R. Damásio,-9bcBAAAQBAJ,103867,2023/04/14,,to-read,0,336.0
The Gene: An Intimate History,Siddhartha Mukherjee,XvAsDAAAQBAJ,27276428,2023/04/14,,to-read,0,592.0
"The Triple Helix: Gene, Organism, and Environment",Richard C. Lewontin,otKbHE8OFy4C,185154,2023/04/20,,to-read,0,144.0
Biology as Ideology: The Doctrine of DNA,Richard C. Lewontin,eUWfFQQxm1EC,185153,2023/04/20,,to-read,0,128.0
Naming the Mind: How Psychology Found Its Language,Kurt Danziger,K0L8VGZAGzEC,812281,2023/04/20,,to-read,0,224.0
The Beak of the Finch: A Story of Evolution in Our Time,Jonathan Weiner,-bbh3c4ezP0C,125286,2023/04/20,,to-read,0,332.0
This Is Shakespeare,Emma  Smith,NpLdxwEACAAJ,49919215,2023/01/03,,to-read,0,368.0
Iron Gustav: A Berlin Family Chronicle,Hans Fallada,LNKJAgAAQBAJ,21087479,2023/04/28,,to-read,0,586.0
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Mark Wolynn,hT1vEAAAQBAJ,26026054,2023/04/28,,to-read,0,256.0
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,9HMZEAAAQBAJ,43868109,2023/05/04,,to-read,0,535.0
"Little Man, What Now?",Hans Fallada,c3mSlU_1TUAC,466354,2023/04/28,,to-read,0,384.0
The War of the World: Twentieth-Century Conflict and the Descent of the West,Niall Ferguson,UO2qQgAACAAJ,8907,2023/04/29,,to-read,0,808.0
"Altered Traits: Science Reveals How Meditation Changes Your Mind, Brain, and Body",Daniel Goleman,AdF0nQAACAAJ,34272471,2023/04/29,,to-read,0,336.0
"Burn: New Research Blows the Lid Off How We Really Burn Calories, Lose Weight, and Stay Healthy",Herman Pontzer,vUGOEAAAQBAJ,54734969,2023/04/30,,to-read,0,384.0
Good Poems for Hard Times,Garrison Keillor,I-jYzwEACAAJ,39690,2023/04/30,,to-read,0,344.0
ADHD 2.0 : New Science and Essential Strategies for Thriving with Distraction—From Childhood Through Adulthood,Edward M. Hallowell,lTW_EAAAQBAJ,53231680,2023/05/01,,to-read,0,208.0
Hackers: Heroes of the Computer Revolution,Steven Levy,JwKHDwAAQBAJ,56829,2023/05/01,,to-read,0,464.0
When Breath Becomes Air,Paul Kalanithi,fDDWDQAAQBAJ,25899336,2023/05/02,,to-read,0,208.0
Breath: The New Science of a Lost Art,James Nestor,-ZuzDwAAQBAJ,48890486,2023/05/02,,to-read,0,280.0
"Ivan's War: Life and Death in the Red Army, 1939-1945",Catherine Merridale,5glDKQEV0CMC,84571,2023/05/04,,to-read,0,462.0
Russia at War: 1941-1945,Alexander Werth,v2SCDwAAQBAJ,72254,2023/05/04,,to-read,0,1136.0
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,saY_EAAAQBAJ,58330567,2023/05/04,,to-read,0,301.0
The Moon Is Down,John Steinbeck,63tEtS7iD7cC,12722,2023/04/28,,to-read,0,144.0
The Death of Ivan Ilych,Leo Tolstoy,TlS1zQEACAAJ,18386,2023/01/14,,to-read,0,86.0
